Assembly	# contigs (>= 0 bp)	# contigs (>= 1000 bp)	# contigs (>= 5000 bp)	# contigs (>= 10000 bp)	# contigs (>= 25000 bp)	# contigs (>= 50000 bp)	Total length (>= 0 bp)	Total length (>= 1000 bp)	Total length (>= 5000 bp)	Total length (>= 10000 bp)	Total length (>= 25000 bp)	Total length (>= 50000 bp)	# contigs	Largest contig	Total length	GC (%)	N50	N75	L50	L75	# N's per 100 kbp
49937_1_227.assembly	110	50	28	25	23	19	5060777	5040072	4996247	4970904	4937601	4803733	60	760982	5047556	50.54	357727	175760	5	10	0.00
49989_1_35.assembly	152	86	57	53	38	26	4952743	4926049	4858468	4827476	4563880	4162188	108	347944	4941361	50.73	176647	81578	10	20	0.00
49937_1_297.assembly	197	130	96	77	57	39	5501786	5476417	5403424	5259995	4944643	4355006	149	379033	5489946	57.43	92363	63011	18	35	0.00
49989_1_168.assembly	276	167	116	96	65	33	5176351	5127750	5000303	4866515	4328839	3137698	211	226065	5160078	50.52	63193	35663	23	51	0.00
49989_2_96.assembly	93	57	37	33	26	22	5510925	5497005	5457975	5429354	5320116	5196721	67	543087	5504442	57.27	335906	186841	7	12	0.00
49990_2_145.assembly	73	46	31	29	25	17	5030221	5022437	4992702	4977829	4914341	4614078	50	1019964	5025123	50.44	354070	225375	5	9	0.00
49989_1_143.assembly	156	86	63	59	45	34	5401553	5371555	5318976	5289319	5097829	4757245	111	326526	5389598	50.66	159988	88630	14	25	0.00
49990_2_139.assembly	138	59	38	34	26	24	5213474	5182329	5141391	5112795	5002528	4931340	85	619335	5200730	50.72	300106	174811	7	14	0.00
49989_1_265.assembly	206	107	74	62	45	28	4900239	4860202	4791310	4699721	4419190	3824786	139	420738	4883645	50.77	130453	60835	11	25	0.00
49989_1_164.assembly	124	55	34	31	28	21	4968034	4939442	4891982	4866076	4814978	4569858	81	608144	4957497	50.58	309853	166072	7	13	0.00
49990_2_107.assembly	172	93	56	47	35	26	5344683	5312204	5237324	5172270	4967823	4661589	121	479255	5331948	50.45	202433	120428	9	18	0.00
49937_1_104.assembly	185	96	67	61	41	29	5673512	5640835	5585249	5544212	5201418	4792841	118	433691	5657242	57.05	203333	85668	11	22	0.00
49990_1_216.assembly	169	72	52	47	37	27	5150338	5115616	5074074	5035870	4871009	4534970	95	463684	5131219	50.52	168382	92288	8	18	0.00
49989_2_160.assembly	190	90	52	42	31	23	5156727	5116091	5034421	4961412	4789391	4527133	120	668980	5137402	50.44	195526	132453	8	16	0.00
49947_1_178.assembly	273	89	48	36	30	20	5115530	5054446	4967470	4877847	4795530	4466847	130	619322	5083114	50.31	246961	132225	7	13	0.00
49990_1_189.assembly	168	91	54	42	34	27	5477676	5452369	5362680	5278048	5145773	4905928	107	737576	5463253	57.19	202583	100224	8	17	0.00
49937_1_189.assembly	78	35	27	22	21	13	5292277	5279109	5263024	5222157	5210709	4947253	42	1726871	5283974	57.44	499010	258588	3	6	0.00
49937_1_265.assembly	95	56	38	32	27	21	5481418	5469457	5430866	5381683	5291422	5115775	62	604247	5473980	57.17	307615	199472	7	13	0.00
49990_1_115.assembly	343	220	147	107	50	22	3919586	3863022	3688683	3403922	2464543	1514731	267	132208	3899539	39.10	36719	17538	33	72	0.00
49989_1_315.assembly	66	37	31	30	27	21	5547302	5538497	5524606	5515312	5473370	5267320	43	852985	5543042	57.33	355108	191520	6	11	0.00
49937_1_321.assembly	122	59	36	33	28	18	4971584	4944430	4900389	4876127	4786563	4436028	81	716047	4960290	50.56	332795	137061	6	11	0.00
49947_1_381.assembly	153	74	50	46	36	28	4913140	4881581	4823173	4793809	4626057	4322653	96	284331	4897267	50.64	178468	112818	11	20	0.00
49989_1_110.assembly	139	69	36	31	21	17	5007625	4981648	4908837	4870653	4703167	4566031	87	787644	4994274	50.50	362179	153326	5	11	0.00
49937_1_97.assembly	95	61	34	28	22	15	5489583	5476715	5410860	5365812	5267069	5023439	72	786619	5484582	57.21	623970	257167	4	8	0.00
49947_1_241.assembly	83	52	38	33	28	21	5411040	5400273	5370224	5333142	5243164	5026582	60	628866	5405990	57.25	307615	175265	7	13	0.00
49990_2_135.assembly	95	48	30	28	25	20	5315110	5296681	5264861	5251708	5183320	5009184	63	543982	5307986	57.46	281869	182727	7	12	0.00
49989_2_55.assembly	147	76	51	41	29	24	5068978	5034693	4984551	4914278	4701911	4532342	108	499089	5058429	50.48	202436	130920	9	16	0.00
49989_1_134.assembly	134	67	45	42	34	27	5253626	5225928	5183119	5164474	5010431	4779703	89	570013	5240892	50.41	229163	102021	8	16	0.00
49937_1_22.assembly	115	64	44	37	27	21	4966133	4946746	4903981	4855569	4683953	4474140	78	582181	4956495	50.59	246032	137432	7	13	0.00
49990_1_342.assembly	77	47	34	31	28	24	5373386	5363363	5330690	5309830	5265079	5136953	53	507506	5367516	57.36	294393	166134	7	13	0.00
49990_2_100.assembly	136	66	45	39	32	26	5177280	5149645	5106345	5067389	4951200	4728167	85	474334	5163312	50.59	241426	120032	8	16	0.00
49990_2_19.assembly	146	90	48	37	32	25	5290712	5272395	5181267	5107501	5032344	4797328	104	958320	5281572	55.08	227304	123671	8	16	0.00
49989_1_171.assembly	136	73	46	40	31	24	5108243	5080728	5015771	4971973	4843545	4597022	97	365978	5098117	50.63	225781	147491	9	16	0.00
49989_1_43.assembly	88	52	33	28	23	19	5782189	5769101	5723692	5686864	5597560	5458729	61	898449	5775271	56.90	483715	214334	5	9	0.00
49990_2_121.assembly	138	89	62	50	35	26	5132654	5115580	5059851	4963039	4741927	4425417	101	622838	5123805	50.71	183511	93258	10	19	0.00
49989_2_373.assembly	76	45	30	25	23	20	5135386	5121694	5086817	5055645	5030275	4930905	60	597104	5131345	50.45	370487	203096	6	11	0.00
49989_2_291.assembly	218	97	67	56	42	32	5061916	5022206	4952866	4872095	4642646	4246957	117	384220	5035430	50.57	127792	71492	12	25	0.00
49947_1_50.assembly	234	84	59	49	37	24	4832224	4787669	4734952	4668861	4490574	4065604	104	355232	4801294	50.70	180616	96208	10	18	0.00
49989_1_368.assembly	109	57	43	38	29	19	5062373	5043215	5015952	4986607	4845069	4485868	73	957268	5054493	50.70	307938	175832	6	11	0.00
49937_1_201.assembly	129	63	48	41	33	25	5129542	5103164	5067902	5021326	4889610	4608485	82	440130	5117556	50.63	201090	113392	9	17	0.00
49989_2_308.assembly	142	76	53	48	33	27	5289682	5262233	5206824	5168312	4946161	4739433	98	420878	5277805	50.65	188717	130866	10	19	0.00
49990_1_375.assembly	189	76	44	34	28	22	5122600	5076965	5002185	4925465	4818468	4605460	113	634970	5103251	50.61	215892	125082	7	15	0.00
49989_2_189.assembly	156	92	63	50	35	25	5191472	5165564	5092650	5007906	4797856	4483190	118	610179	5182280	50.74	219974	101041	8	17	0.00
49989_1_29.assembly	144	67	43	35	27	21	5171510	5139371	5082122	5030283	4897340	4714238	93	635547	5158353	50.38	370298	117010	5	12	0.00
49990_1_184.assembly	136	85	61	49	34	30	5113417	5094145	5041922	4952236	4716318	4582236	99	378434	5104229	50.74	183293	93258	10	20	0.00
49990_2_191.assembly	130	79	53	46	39	29	4999611	4980444	4922938	4871860	4742723	4396421	94	430669	4991024	50.63	184817	86431	10	20	0.00
49989_2_350.assembly	107	63	37	31	27	24	5526551	5509496	5456992	5414341	5352643	5263803	76	590644	5519501	57.23	302308	160208	7	13	0.00
49989_1_273.assembly	83	54	30	27	26	20	5359028	5348703	5298233	5273726	5254929	5049539	63	671968	5355266	57.32	331479	208230	6	11	0.00
49989_1_237.assembly	130	89	61	50	39	30	4799218	4782568	4719962	4638357	4454386	4170314	103	326399	4793428	50.85	146965	82911	11	22	0.00
49989_2_110.assembly	83	48	29	29	25	22	5584411	5570704	5520124	5520124	5448529	5344870	58	639147	5578018	57.43	383269	164760	6	12	0.00
49989_1_350.assembly	76	34	23	23	22	18	5565862	5552743	5530274	5530274	5511238	5374273	42	1001319	5558299	57.43	333823	292425	5	10	0.00
49937_1_242.assembly	118	79	59	48	32	28	5117312	5103140	5057859	4974200	4722608	4588451	89	524561	5110373	50.75	190808	108987	9	18	0.00
49989_2_58.assembly	92	45	26	25	23	17	4950130	4932053	4892640	4884095	4854257	4650460	58	616712	4942267	50.57	359864	220137	5	10	0.00
49990_2_237.assembly	155	78	52	45	30	23	5213469	5182619	5126397	5076288	4841912	4587491	105	399782	5200275	50.69	239962	136366	9	16	0.00
49937_1_171.assembly	141	74	50	45	31	21	5075607	5051098	5004786	4969979	4756057	4412368	89	513374	5062474	50.67	222182	137432	8	14	0.00
49947_1_382.assembly	98	60	44	36	28	20	5544546	5532472	5497447	5436378	5315618	5062512	68	591088	5537858	57.22	341709	204753	7	12	0.00
49947_1_158.assembly	107	59	39	34	28	21	5037985	5020298	4972842	4938642	4841088	4611883	72	790362	5029828	50.55	215880	161983	7	13	0.00
49990_2_257.assembly	131	58	38	31	25	22	5057106	5029736	4986545	4935640	4820490	4709375	79	588725	5045387	50.48	250311	172081	7	14	0.00
49937_1_246.assembly	196	89	51	45	37	28	5255754	5211883	5133522	5086648	4958245	4628083	122	511865	5236205	50.70	184087	108987	10	19	0.00
49947_1_90.assembly	129	73	51	43	29	21	5247445	5226175	5178798	5125864	4902965	4634278	93	622959	5239193	50.72	281147	123597	7	14	0.00
49990_2_132.assembly	49	28	20	20	19	15	4874748	4867025	4843054	4843054	4818860	4684789	33	1210712	4870650	50.58	651920	214958	3	7	0.00
49937_1_13.assembly	97	57	40	34	26	17	5519312	5508311	5470043	5428050	5295554	4972651	61	802901	5511508	57.12	460854	212773	5	10	0.00
49989_2_355.assembly	263	100	71	64	49	31	5242227	5188151	5115778	5061398	4865066	4285205	132	224050	5209760	50.61	159531	82020	14	26	0.00
49937_1_231.assembly	123	74	54	46	34	28	5038995	5021285	4974423	4917399	4713951	4503549	88	373622	5030736	50.75	209201	105764	9	18	0.00
49990_2_208.assembly	79	44	32	28	26	19	5565922	5555966	5526225	5491791	5450449	5198873	50	704971	5560224	56.95	394458	205917	6	10	0.00
49989_2_78.assembly	190	73	43	37	28	21	5152294	5106055	5037297	4992804	4860531	4623438	104	619058	5128508	50.52	332195	132722	6	13	0.00
49989_2_357.assembly	238	94	53	42	33	25	5524774	5478814	5379832	5301722	5182569	4933477	118	667075	5496582	50.47	213895	123171	8	17	0.00
49989_2_181.assembly	144	77	56	52	40	29	5310593	5283434	5235657	5207778	5047500	4684913	98	347205	5298419	50.65	173578	103503	11	20	0.00
49990_2_46.assembly	62	36	21	19	18	14	5363784	5354894	5322078	5311474	5295489	5178583	43	976041	5359727	57.35	478621	357156	4	7	0.00
49989_1_165.assembly	559	182	101	84	49	32	5461396	5339675	5170234	5047224	4465953	3813420	255	471908	5390355	50.50	85575	43583	16	37	0.00
49947_1_369.assembly	280	103	67	56	43	31	5191391	5132412	5050659	4972969	4764644	4345604	144	345563	5160211	50.59	136645	84438	13	24	0.00
49937_1_298.assembly	148	72	42	38	28	22	4947471	4917719	4857609	4824672	4665057	4441609	96	479684	4935429	50.62	285959	125145	7	14	0.00
49947_1_320.assembly	252	141	95	81	53	33	5197798	5158599	5062387	4965830	4504590	3784674	171	340362	5179682	50.69	96272	46490	16	36	0.00
49947_1_96.assembly	203	132	96	84	63	34	5194340	5164718	5072741	4988017	4631190	3532894	157	228579	5182595	50.60	86185	45655	20	42	0.00
49989_1_351.assembly	198	87	65	58	49	30	5075217	5032078	4976074	4926856	4751763	4098014	117	369370	5054326	50.47	145889	60397	12	25	0.00
49989_2_276.assembly	143	79	55	48	33	27	5022306	4998830	4941916	4885730	4646243	4434208	96	686894	5010511	50.68	183448	91188	9	19	0.00
49989_2_298.assembly	156	73	44	40	32	23	5156308	5121089	5056993	5031395	4910773	4575333	108	546141	5144719	50.78	190808	123597	8	16	0.00
49989_1_140.assembly	132	73	48	40	35	26	5232635	5211792	5156685	5094604	5010945	4692811	87	779231	5220963	50.61	203752	111787	8	17	0.00
49989_2_266.assembly	336	121	68	58	41	32	5302717	5223774	5111011	5038815	4770158	4455290	179	319855	5263974	50.67	159661	85214	13	24	0.00
49989_1_346.assembly	288	104	58	47	33	27	5305616	5239465	5136134	5055527	4850100	4655357	156	437062	5274287	50.35	189948	104956	9	19	0.00
49989_1_57.assembly	57	29	21	21	21	18	5277944	5268790	5250446	5250446	5250446	5144136	36	512913	5273939	57.40	366699	249521	6	11	0.00
49989_2_233.assembly	164	78	50	42	35	27	5146084	5106755	5039500	4985501	4865181	4570976	111	401397	5130161	50.70	181965	126206	10	19	0.00
49990_2_63.assembly	137	71	47	44	33	26	4923456	4900521	4849326	4826745	4679550	4451257	87	452013	4911656	50.62	190833	137432	9	16	0.00
49947_1_180.assembly	156	88	61	51	34	28	5105485	5080341	5016108	4944838	4668373	4472135	109	378208	5094210	50.74	183490	105764	10	19	0.00
49989_1_39.assembly	182	75	53	39	29	23	5109660	5067287	5017430	4917508	4775836	4573445	108	596726	5091287	50.50	226642	125080	7	15	0.00
49937_1_127.assembly	111	77	46	35	29	25	5537267	5527645	5454452	5371126	5265724	5139845	82	736291	5531407	57.20	225768	154612	7	15	0.00
49990_2_246.assembly	144	75	51	41	35	29	4928771	4903703	4855459	4775621	4660725	4457560	93	721723	4916032	50.41	172641	94766	9	18	0.00
49947_1_119.assembly	193	92	56	46	34	27	5685882	5655091	5567288	5492159	5292757	5049404	107	515956	5665555	57.03	214625	124193	9	18	0.00
49990_2_294.assembly	62	42	28	25	21	17	5216868	5210087	5175125	5158570	5082188	4946360	47	708623	5213730	57.56	431364	212537	5	9	0.00
49989_2_99.assembly	224	87	46	37	31	23	5118265	5064742	4968236	4901835	4795714	4531424	127	491984	5092988	50.59	222053	125079	9	16	0.00
49989_1_170.assembly	277	173	119	94	61	33	5130162	5087843	4957341	4785568	4235239	3188737	210	226065	5113570	50.63	63223	35663	22	49	0.00
49990_1_311.assembly	167	79	54	49	33	29	5276511	5242965	5187988	5151839	4919791	4789904	104	420245	5260112	50.66	184916	123597	10	19	0.00
49947_1_348.assembly	425	151	102	81	61	38	5354432	5248697	5131725	4990359	4657717	3828929	234	436641	5306769	50.66	85554	47837	20	42	0.00
49937_1_98.assembly	4486	1020	317	113	16	4	6280849	5072606	3403375	2020433	708321	315892	1701	111174	5541470	50.05	6596	3111	208	507	0.00
49989_1_78.assembly	241	113	67	61	50	31	5386936	5329445	5236002	5193599	4995516	4289260	159	351577	5363772	50.61	136661	71492	13	27	0.00
49989_1_270.assembly	67	37	18	18	17	12	4695015	4685754	4645956	4645956	4628480	4449151	41	748071	4688447	50.60	662218	275020	4	6	0.00
49989_1_334.assembly	124	55	34	31	30	22	4697074	4674863	4640785	4619755	4595012	4324616	68	702398	4684094	50.82	235952	135609	7	14	0.00
49937_1_262.assembly	200	94	53	46	33	24	5282383	5236586	5141214	5093214	4865521	4568190	138	554738	5267499	50.51	210769	110291	8	17	0.00
49937_1_66.assembly	190	89	49	37	29	24	5352530	5310261	5227405	5141213	5019341	4858132	122	398882	5334293	50.58	290697	128673	8	15	0.00
49947_1_211.assembly	222	106	61	52	40	35	5675874	5642058	5536086	5471526	5264862	5109396	121	424335	5653037	57.03	163988	95689	10	23	0.00
49947_1_371.assembly	216	93	60	50	36	25	5002019	4964795	4889086	4809586	4606593	4231231	114	376421	4978647	50.65	190833	108982	10	19	0.00
49989_1_258.assembly	193	119	85	77	50	29	4821881	4794320	4706805	4646615	4215312	3484495	140	283724	4810125	50.78	101199	41783	15	32	0.00
49989_1_14.assembly	105	66	46	45	41	27	4944478	4930665	4888620	4882118	4813048	4307592	74	410709	4937242	50.79	154494	95100	9	19	0.00
49990_1_121.assembly	80	53	36	33	29	24	5399272	5390135	5350122	5328313	5270082	5112241	58	478618	5393966	57.34	294393	128053	8	14	0.00
49990_1_114.assembly	223	136	94	83	61	31	5195799	5162833	5058644	4978619	4609239	3451618	162	228586	5181210	50.59	89361	44358	18	41	0.00
49937_1_290.assembly	154	104	71	61	47	35	4994388	4976068	4899020	4826261	4602363	4174650	116	308718	4984586	50.84	110254	77872	15	29	0.00
49990_1_274.assembly	159	73	52	46	38	27	5147614	5115450	5071289	5023803	4896870	4535601	95	616878	5130605	50.52	168382	91902	7	18	0.00
49989_1_271.assembly	114	75	51	44	36	27	4871684	4855414	4796713	4741987	4629053	4316006	89	476382	4865988	50.56	195120	102156	9	18	0.00
49989_1_161.assembly	79	51	29	25	19	16	5370755	5358854	5303049	5271499	5176317	5087671	62	1092625	5366631	57.50	414585	322640	4	8	0.00
49937_1_50.assembly	116	70	50	42	31	24	5069794	5055855	5006672	4950199	4785353	4539282	79	622952	5062050	50.75	209197	116898	8	15	0.00
49937_1_142.assembly	147	70	47	44	36	27	5094332	5067218	5018450	4994977	4858103	4553671	86	366747	5079256	50.67	192363	137486	10	17	0.00
49989_2_7.assembly	291	119	69	63	44	28	5409610	5341358	5227966	5188364	4876630	4287675	164	436453	5373807	50.67	170239	69557	10	24	0.00
49989_1_91.assembly	530	253	144	111	60	31	5435460	5298359	5064913	4823678	4009391	3028277	385	243464	5398476	50.22	58617	24386	25	62	0.00
49937_1_373.assembly	95	60	36	31	26	24	5507297	5494500	5445241	5407766	5332615	5272273	70	590605	5501728	57.27	307140	146134	7	13	0.00
49947_1_56.assembly	227	95	64	54	38	26	5001820	4963372	4892747	4813156	4570682	4160861	116	376421	4977217	50.65	159532	105777	11	20	0.00
49990_2_171.assembly	118	62	37	29	24	18	5074023	5053022	4997180	4945554	4832085	4614668	77	743620	5064241	50.51	500239	136237	4	10	0.00
49989_1_262.assembly	154	72	46	36	27	21	5080472	5043986	4995225	4926923	4793610	4596055	101	556173	5064501	50.48	331863	122122	7	14	0.00
49937_1_316.assembly	113	54	34	34	26	21	5090054	5064913	5024742	5024742	4893964	4729468	76	694050	5080650	50.74	276413	173575	7	13	0.00
49990_2_267.assembly	156	87	53	47	33	27	5130822	5103523	5033619	4987442	4777123	4577360	109	346978	5118759	50.82	204289	113517	10	18	0.00
49947_1_277.assembly	78	39	32	29	28	22	4953437	4939499	4920836	4903775	4892607	4668611	49	392135	4946644	50.45	226817	159432	8	15	0.00
49990_2_10.assembly	81	49	34	30	28	21	5395217	5384680	5353974	5323524	5292643	5074174	57	628866	5389961	57.25	298605	181588	7	13	0.00
49990_1_181.assembly	124	72	46	34	28	20	5416171	5399910	5330806	5245297	5154837	4904942	83	1234001	5407955	57.32	331594	114320	5	12	0.00
49989_2_279.assembly	213	102	56	46	29	24	5343200	5298575	5194695	5130314	4887809	4732576	138	400066	5323372	50.68	204586	131616	9	16	0.00
49990_2_164.assembly	70	45	33	30	22	15	5388221	5379715	5351423	5327130	5196938	4944897	52	1385598	5384570	57.36	372143	308769	4	8	0.00
49937_1_108.assembly	174	78	56	45	36	24	4965037	4935625	4883300	4803842	4657309	4251839	92	459844	4944599	50.66	188263	109214	9	17	0.00
49990_1_210.assembly	140	67	47	43	36	27	4976588	4950603	4917065	4892409	4795159	4451393	84	525260	4962615	50.67	177924	112056	9	18	0.00
49989_2_268.assembly	164	79	46	39	26	19	5153222	5116392	5044473	4996677	4786288	4561630	112	577193	5139333	50.47	284580	147192	7	13	0.00
49989_2_230.assembly	172	88	58	54	49	33	5012561	4979739	4916859	4891688	4793172	4250289	114	467671	4998595	50.55	121323	72732	12	25	0.00
49989_2_166.assembly	180	91	58	49	34	28	5065996	5034027	4951049	4885042	4663569	4448717	112	372403	5047898	50.73	190808	95356	10	20	0.00
49989_1_195.assembly	148	75	44	38	28	21	5179433	5149605	5075710	5033828	4866980	4630095	103	593264	5168314	50.52	237495	132357	7	13	0.00
49989_1_317.assembly	100	54	30	26	24	18	4988985	4974428	4923214	4895833	4862072	4648640	62	701739	4980661	50.53	318930	201519	6	10	0.00
49989_1_24.assembly	134	70	42	33	28	21	5068044	5041161	4987663	4917354	4839207	4597385	94	619871	5058225	50.77	283427	136366	7	14	0.00
49990_1_369.assembly	170	84	54	42	31	23	5215630	5185722	5114082	5027527	4816218	4542282	104	726316	5199476	50.61	198563	118961	8	16	0.00
49989_2_152.assembly	322	107	72	61	44	32	5073757	5005523	4922080	4843182	4571683	4134423	149	307590	5034325	50.73	150270	66165	13	27	0.00
49937_1_305.assembly	102	59	39	36	30	23	5548953	5532324	5488153	5465083	5360289	5130427	71	542946	5541367	57.24	307140	146134	7	14	0.00
49990_2_261.assembly	152	78	53	45	34	25	5325723	5293086	5234432	5180521	4992594	4671438	107	496872	5314144	50.53	202436	113230	9	18	0.00
49947_1_185.assembly	191	94	63	51	41	34	5568206	5537214	5465489	5383728	5236064	4984725	113	529444	5550003	57.00	172287	92725	12	23	0.00
49990_1_117.assembly	224	95	53	42	29	24	5591283	5541322	5427257	5350789	5154634	4994415	128	787772	5564727	57.12	292970	108528	6	14	0.00
49990_1_244.assembly	111	61	40	33	28	21	5037866	5020538	4969241	4923026	4847629	4618600	73	789858	5029448	50.55	215880	161983	7	13	0.00
49947_1_383.assembly	121	73	50	43	30	25	5066227	5049308	4997236	4950008	4738196	4573627	86	622944	5057946	50.75	211165	116898	8	16	0.00
49990_1_128.assembly	254	111	66	53	38	28	5340466	5291294	5192857	5103444	4868886	4509504	145	448716	5314372	50.48	182948	91888	10	20	0.00
49990_1_281.assembly	88	45	31	30	26	22	4848534	4832551	4802679	4795159	4731995	4594809	58	648517	4841509	50.57	306844	130976	6	11	0.00
49989_1_66.assembly	169	98	65	59	47	32	5027409	4993468	4913691	4870561	4652494	4109859	130	335141	5017226	50.85	118346	75076	12	26	0.00
49990_2_161.assembly	114	60	43	42	36	23	5053088	5032178	4999991	4994563	4900586	4476897	77	418584	5044518	50.54	230573	118103	8	16	0.00
49989_1_228.assembly	178	63	40	33	28	17	4997705	4954280	4905022	4854827	4784386	4419395	95	737700	4976029	50.45	365493	145892	5	11	0.00
49989_1_344.assembly	304	97	63	48	37	27	5167514	5102372	5022346	4904761	4722128	4371767	131	347582	5126389	50.69	197127	94947	10	20	0.00
49947_1_87.assembly	100	53	35	30	21	16	5370700	5356761	5317535	5278085	5121785	4939081	62	997956	5363152	57.37	423454	198553	4	8	0.00
49989_2_294.assembly	62	30	22	20	19	16	5203453	5192894	5177588	5162695	5142638	5055325	38	803857	5198243	57.47	372225	325367	5	9	0.00
49937_1_355.assembly	221	94	52	40	26	20	5200405	5150645	5054774	4971503	4733762	4519692	129	667976	5176338	50.63	268268	129062	7	14	0.00
49937_1_179.assembly	90	52	36	31	28	21	5410830	5397331	5360407	5322909	5276872	5051103	60	552776	5403649	57.25	307615	181588	7	13	0.00
49989_1_84.assembly	118	76	52	47	40	26	4970764	4954474	4896239	4860215	4749127	4229239	90	476000	4964585	50.55	152110	89388	10	20	0.00
49989_1_208.assembly	45	27	21	21	20	15	4772319	4768002	4755585	4755585	4737908	4560095	28	1178467	4768907	50.72	497129	225888	3	7	0.00
49937_1_154.assembly	294	135	82	73	55	45	10129299	10070780	9958071	9893362	9629012	9302901	176	669175	10099568	52.69	286958	137432	13	25	0.00
49947_1_273.assembly	227	94	54	44	31	24	5239206	5189236	5102811	5034799	4833955	4586175	140	555717	5219155	50.83	190808	110086	8	17	0.00
49989_2_106.assembly	70	39	30	26	25	21	4994846	4982753	4961768	4933747	4913180	4786283	49	636397	4989376	50.52	314145	186234	6	11	0.00
49989_2_118.assembly	315	114	53	46	34	25	5247197	5166113	5038348	4982714	4782068	4478904	176	352440	5208568	50.64	221551	109759	10	18	0.00
49990_1_179.assembly	88	68	52	46	37	28	4595897	4589646	4554438	4511088	4364586	4051831	73	769319	4592914	55.23	160479	76198	9	19	0.00
49937_1_268.assembly	170	88	52	46	38	27	5217749	5185945	5116377	5075584	4940795	4545235	112	436290	5201742	50.52	185805	92756	10	19	0.00
49937_1_259.assembly	62	41	31	26	23	16	5596466	5589803	5571845	5530978	5478064	5237724	44	1061558	5592060	57.10	398990	318257	4	8	0.00
49989_1_293.assembly	187	75	48	40	28	21	5190538	5147931	5090398	5034030	4852047	4628180	107	577222	5169820	50.49	227285	130831	7	14	0.00
49989_1_104.assembly	236	85	53	49	35	26	5145338	5079016	5016443	4986858	4777422	4495100	138	487265	5117069	50.57	181451	108918	9	18	0.00
49989_2_383.assembly	238	93	44	35	24	18	5142809	5088698	4981674	4915514	4744247	4536365	128	668664	5113394	50.47	342133	132900	5	12	0.00
49990_2_160.assembly	66	38	28	24	20	18	4918121	4907176	4885953	4854760	4803856	4732488	47	574835	4913367	50.67	347980	234412	6	11	0.00
49989_1_117.assembly	250	100	55	46	33	23	5256355	5199261	5103905	5037002	4833086	4477630	146	622510	5230692	50.46	202435	112994	8	17	0.00
49990_1_376.assembly	82	46	32	32	30	25	5528315	5517802	5487403	5487403	5448600	5266298	52	662135	5521841	57.14	344109	140983	7	13	0.00
49937_1_111.assembly	69	40	32	29	26	20	5270545	5258861	5234304	5213546	5148025	4936845	51	454876	5266731	57.42	348839	231209	7	12	0.00
49937_1_362.assembly	103	63	40	36	33	28	5672820	5656813	5603983	5578383	5524681	5352177	77	470452	5667215	56.87	224673	140124	8	17	0.00
49947_1_156.assembly	280	110	73	59	41	28	5323562	5265012	5174357	5076539	4789505	4334087	150	448898	5293309	50.47	165884	67717	10	22	0.00
49990_1_223.assembly	183	82	52	40	30	25	5532983	5499584	5421404	5330201	5166917	4985491	102	787772	5513060	57.16	217596	117856	7	15	0.00
49937_1_344.assembly	127	76	50	46	39	30	5274627	5252437	5196790	5166450	5082771	4805921	94	347205	5265453	50.64	173577	108993	11	20	0.00
49989_2_34.assembly	131	75	50	43	31	22	5289264	5267500	5216075	5169861	4979886	4682705	96	622959	5281403	50.76	281147	123597	7	14	0.00
49990_2_216.assembly	385	126	66	59	37	29	5418737	5319410	5180031	5126419	4825136	4533834	198	347204	5370449	50.61	172937	93348	11	22	0.00
49937_1_76.assembly	46	34	25	24	22	19	5446854	5443289	5424913	5415931	5374410	5279019	36	736749	5444489	57.33	378169	214378	5	10	0.00
49990_2_258.assembly	146	99	68	63	49	31	4665938	4648930	4579619	4540067	4291521	3658664	108	281847	4655536	50.72	119021	61812	14	29	0.00
49937_1_81.assembly	152	63	44	41	27	20	5285432	5243526	5205415	5178763	4961317	4707379	99	679912	5269660	50.67	276424	165470	7	13	0.00
49937_1_113.assembly	174	85	49	39	31	26	5692596	5663095	5576509	5504131	5364040	5195470	102	516291	5675659	57.03	224207	129654	8	16	0.00
49937_1_166.assembly	110	63	41	39	35	24	5057598	5042688	5001094	4988311	4918507	4511046	71	459737	5048513	50.63	271752	98509	8	15	0.00
49989_2_98.assembly	178	96	59	54	46	38	8970575	8940250	8864212	8822607	8713418	8429156	121	674181	8958879	45.47	250632	176067	13	24	0.00
49937_1_7.assembly	209	112	61	49	37	30	5482858	5447002	5325081	5239998	5027665	4771024	137	506919	5464013	57.35	192910	86314	9	19	0.00
49937_1_358.assembly	202	130	79	72	54	39	5128240	5100532	4982770	4930765	4602123	4057545	151	246371	5115460	50.44	96195	53490	17	35	0.00
49989_1_275.assembly	105	58	31	30	25	14	5050442	5033403	4982495	4973037	4889584	4479146	70	772289	5041861	50.52	382278	198116	5	9	0.00
49990_1_88.assembly	180	90	62	54	44	33	5096019	5065476	4991652	4929670	4773249	4390854	107	327176	5077354	50.53	150098	91899	13	24	0.00
49989_1_92.assembly	106	53	32	26	22	18	5099279	5074685	5027831	4987407	4922747	4799648	75	901745	5090379	50.54	362751	202417	5	9	0.00
49990_1_150.assembly	246	93	49	39	32	23	5111148	5058823	4961329	4890124	4763217	4453726	128	491837	5082792	50.58	215880	125070	9	16	0.00
49937_1_245.assembly	124	71	49	46	32	24	5143577	5123460	5072868	5050303	4805427	4540553	88	376431	5134926	50.77	205693	113517	9	17	0.00
49947_1_307.assembly	137	128	108	100	60	31	4832885	4828716	4762191	4705888	4020832	2934369	133	194117	4832396	50.66	64780	35947	23	48	0.00
